BLOCK ID,TIME STAMP,PARENT ID,MINER,SLOW,LOW_CPU,PRIVATE
d477f60f4b8bf4c3dda9c0ba853faa9cd507c6c312d78f554a0cf53f53aa23b2,0,NULL,0,0,0,0
f37d902fa54cdb15318ed5aef6595470ab850f77b55cb4d7d8bf2f17abccf8a6,12898.171300149987,d477f60f4b8bf4c3dda9c0ba853faa9cd507c6c312d78f554a0cf53f53aa23b2,37,1,1,0
2570c2344b815c8152c97145b0f273a355a780f79721189d09af126ff271b19f,13399.554605515377,d477f60f4b8bf4c3dda9c0ba853faa9cd507c6c312d78f554a0cf53f53aa23b2,1,0,2,0
ec0a21e123433cebdfbbf9f39ddf9ffa82194a7396355c05e725ea34177511e5,21122.96957745873,f37d902fa54cdb15318ed5aef6595470ab850f77b55cb4d7d8bf2f17abccf8a6,66,0,1,0
b4359b0e1e7e4d1ff0d1103458612a774226b97a75f66c902c73dbedcaeb48d6,21841.530604313477,2570c2344b815c8152c97145b0f273a355a780f79721189d09af126ff271b19f,1,0,2,0
54efe88288a21fadff397af82fed89373219dbed6ee1b64758806fe7e6863678,35042.05154976733,ec0a21e123433cebdfbbf9f39ddf9ffa82194a7396355c05e725ea34177511e5,19,0,1,0
41ac7ee4f55c28d966477bc416ab5a97a3ac255a1cd754f0cfcbd6f72188504f,35856.90381475902,b4359b0e1e7e4d1ff0d1103458612a774226b97a75f66c902c73dbedcaeb48d6,1,0,2,0
29e148a3e211f0266258d4fd5aaef6f528468e0d322c58a3de313b1058642692,67079.65561176416,54efe88288a21fadff397af82fed89373219dbed6ee1b64758806fe7e6863678,40,0,1,0
2176c246f0f2cf6b12c7a41d010d9b5c999ff0b100c0750231e311febd8f9feb,67958.98031450226,41ac7ee4f55c28d966477bc416ab5a97a3ac255a1cd754f0cfcbd6f72188504f,1,0,2,0
3b1985e3c73844c217e54f1f7cd8768aae3005eb3a22e8497bb5aa5801cf1ec6,74193.85570924278,29e148a3e211f0266258d4fd5aaef6f528468e0d322c58a3de313b1058642692,21,1,1,0
aef24a79b7324b86bfc773799a9759cfa0c78178f9b2ad12897ec78edce7c4e6,74505.59821456346,2176c246f0f2cf6b12c7a41d010d9b5c999ff0b100c0750231e311febd8f9feb,1,0,2,0
3b2f0c21271023c2e6c1aea5538c92edf0e1dfe525eb4ad443a7795e30534668,129864.606346658,3b1985e3c73844c217e54f1f7cd8768aae3005eb3a22e8497bb5aa5801cf1ec6,24,1,1,0
69861692ce37053db5105cf8d7da475d6d44edebb31cc0193090ec81c44b739c,130237.49496105261,aef24a79b7324b86bfc773799a9759cfa0c78178f9b2ad12897ec78edce7c4e6,1,0,2,0
0593165037908ce4c2717dc6c3c2f369a0f914c32338d0afda97ed1400c28cb5,139604.5339393246,3b2f0c21271023c2e6c1aea5538c92edf0e1dfe525eb4ad443a7795e30534668,6,0,1,0
346f17e9a591ab6f2cc45ea6484021bbde99f90bb1ce7cf3baf21bcdabbfcfa1,140500.49466980767,69861692ce37053db5105cf8d7da475d6d44edebb31cc0193090ec81c44b739c,1,0,2,0
67bc6336e080578defaee904005eeddef5660eb4900c87a0ebce41a504f93305,150162.2269433817,0593165037908ce4c2717dc6c3c2f369a0f914c32338d0afda97ed1400c28cb5,10,1,1,0
5118b95d5f29809f475fe00ff61f13b548d5d27616e89ee3d808670ac312fa8e,150529.07840912775,346f17e9a591ab6f2cc45ea6484021bbde99f90bb1ce7cf3baf21bcdabbfcfa1,1,0,2,0
c5a6a315bc6c3f16c6301dde4b6ffd3e6081f976d6da0182ac4f3676f2518962,179238.7927466095,5118b95d5f29809f475fe00ff61f13b548d5d27616e89ee3d808670ac312fa8e,95,1,1,0
83519fc6f42d7454d8084778e15ea56a990ecc00cc0ff14acea0e48e62685883,179763.27967523152,5118b95d5f29809f475fe00ff61f13b548d5d27616e89ee3d808670ac312fa8e,1,0,2,0
6e0d2b06bd24880052e2a0491923600ffceb6dd655f603124ea1b3be66e67897,253042.11986400888,c5a6a315bc6c3f16c6301dde4b6ffd3e6081f976d6da0182ac4f3676f2518962,90,0,1,0
5145faec4b1c03ffeaea1c3879f9a9a2dec1583430076b71e93befc1c1b26c86,254004.63844341625,83519fc6f42d7454d8084778e15ea56a990ecc00cc0ff14acea0e48e62685883,1,0,2,0
e3cda806b96f4e69a7cce3174d063edb7bcb6245891768d86f45ef31d0e43653,255168.7534608202,6e0d2b06bd24880052e2a0491923600ffceb6dd655f603124ea1b3be66e67897,9,1,1,0
3425f255e96d34a657ff3b6b5707e8b2d48fccec5e6c628ad3250bf6b95f8453,255514.81833452918,5145faec4b1c03ffeaea1c3879f9a9a2dec1583430076b71e93befc1c1b26c86,1,0,2,0
a53f96221cea2b1060e9e2a46c72b12f7510bbded1d3a278026a11c6fda09cbb,260236.86907468544,e3cda806b96f4e69a7cce3174d063edb7bcb6245891768d86f45ef31d0e43653,58,1,1,0
f38e74a0ea390dc88621f7b516b5f41aa4197b97bf1cf43ea1a257098ed24453,261193.95516412036,3425f255e96d34a657ff3b6b5707e8b2d48fccec5e6c628ad3250bf6b95f8453,1,0,2,0
899320f5a22347a9c7c497dd129bc8bc153de127c0c6a5651602889a1a0f1413,269985.57715234195,a53f96221cea2b1060e9e2a46c72b12f7510bbded1d3a278026a11c6fda09cbb,4,0,1,0
27c5e9664d7349f71c02f5d511d9131b3f96c6776b7db5deee9328058aec9685,271026.60956570227,f38e74a0ea390dc88621f7b516b5f41aa4197b97bf1cf43ea1a257098ed24453,1,0,2,0
ad4f3a802e4026c0c766167ac74c69e44a88fc7313bd69a0449d63ae9f3155da,285151.345259031,899320f5a22347a9c7c497dd129bc8bc153de127c0c6a5651602889a1a0f1413,19,0,1,0
0653d8ebcdd0cc94e41e0bf5a922e8bed0f85a5f46a84e54f227062fb079e537,285982.42268744437,27c5e9664d7349f71c02f5d511d9131b3f96c6776b7db5deee9328058aec9685,1,0,2,0
a6601923e4eabe92712cfaae0593cfc68508f822533cb0ec3ce5070b59047a6c,315841.59824480943,ad4f3a802e4026c0c766167ac74c69e44a88fc7313bd69a0449d63ae9f3155da,13,1,1,0
2457b3eea2b9e8e1fb91cc6ddfcc2c21da33a86d0801a64ae9ef3e0ea2f146f0,316679.7297121571,0653d8ebcdd0cc94e41e0bf5a922e8bed0f85a5f46a84e54f227062fb079e537,1,0,2,0
9cacdf0fa472c91e80d72b951f4e3a9bdd3b0250083c2c4c70be05747c1923fa,321067.1833437677,a6601923e4eabe92712cfaae0593cfc68508f822533cb0ec3ce5070b59047a6c,52,0,1,0
0b17755c2469050de865cd2834f556937ba8076abc41d3f79cad80669927171d,321730.06188604544,2457b3eea2b9e8e1fb91cc6ddfcc2c21da33a86d0801a64ae9ef3e0ea2f146f0,1,0,2,0
4b6b2be19b862684db84854bb72b7acf48f7de821b4a99424228f18cc0b9be63,343359.0002045721,9cacdf0fa472c91e80d72b951f4e3a9bdd3b0250083c2c4c70be05747c1923fa,52,0,1,0
37f2a5e3154dbbfb06cb6a1cfdbae35b54f23bb22c08e6bfd5986dc248b21fc4,343993.36317127984,0b17755c2469050de865cd2834f556937ba8076abc41d3f79cad80669927171d,1,0,2,0
f92ccb9f48af6c1a39ee1761929cb7b9f13b786169c279072aaa79bfaa7ca67b,349901.51122944755,4b6b2be19b862684db84854bb72b7acf48f7de821b4a99424228f18cc0b9be63,4,0,1,0
a650046477ea62a9fdb5bd1b1458be009e857d5bff8588650b3e59b6cabd0920,350524.05708397453,4b6b2be19b862684db84854bb72b7acf48f7de821b4a99424228f18cc0b9be63,88,1,1,0
1d00d020d9697e3c6397ca98534d8f57dc8f1f67e5056001e211efeb850bdf2b,350871.30571892386,37f2a5e3154dbbfb06cb6a1cfdbae35b54f23bb22c08e6bfd5986dc248b21fc4,1,0,2,0
dea396571155a9ac9bc7f884b2b3209d913be0c90e7d5ad732c84ec790e54455,395917.6294800202,f92ccb9f48af6c1a39ee1761929cb7b9f13b786169c279072aaa79bfaa7ca67b,5,1,1,0
bc72532589f626a4625cd017901fcfa2a41eee64595c01d1cdf5f6ee2a30b9be,396864.7284071814,1d00d020d9697e3c6397ca98534d8f57dc8f1f67e5056001e211efeb850bdf2b,1,0,2,0
93e6366da5158c25eccfecdcf13d1711ecc63da4574e566b9a448b6fe191f704,446173.21714602964,dea396571155a9ac9bc7f884b2b3209d913be0c90e7d5ad732c84ec790e54455,6,0,1,0
ba7393e7a0ea7ed4463d3a460e7f231603e6d5b550a2692c8e6c5f81614ee626,447035.25563555455,bc72532589f626a4625cd017901fcfa2a41eee64595c01d1cdf5f6ee2a30b9be,1,0,2,0
321724d2a72c1e9e272f94d73341a71549415e7f4b110dfdc5d219f0559b10b7,449123.65716469777,93e6366da5158c25eccfecdcf13d1711ecc63da4574e566b9a448b6fe191f704,31,1,1,0
543661483105b81fff8db56b0c8809c564393022ebc6e2562a045e90b6e8734b,448948.55729072995,ba7393e7a0ea7ed4463d3a460e7f231603e6d5b550a2692c8e6c5f81614ee626,1,0,2,0
2827f3d1b22ddc8f424ff0fd9cea6a6a685d041edb14fe59a5439cf5f3b1360e,453850.58466696035,321724d2a72c1e9e272f94d73341a71549415e7f4b110dfdc5d219f0559b10b7,66,0,1,0
09fa5007623d5bd8da928c233de16883636058adf47c84ee963d51bd18cae1f8,454459.82382703456,543661483105b81fff8db56b0c8809c564393022ebc6e2562a045e90b6e8734b,1,0,2,0
c5f1b004fa0eddfdbfca7575f52b184fae1aa8961302b1dd9ae5b42d33f27900,540650.7339661948,2827f3d1b22ddc8f424ff0fd9cea6a6a685d041edb14fe59a5439cf5f3b1360e,85,0,1,0
3be955727a2e6e0668c7db6f4e69134d2155e8953ab27d5d9db11d14c2236e61,539673.9401146069,09fa5007623d5bd8da928c233de16883636058adf47c84ee963d51bd18cae1f8,1,0,2,0
213b98c1fcfd7fd6cb9e7f1ff09daccad99e04245510b1a85e0d48d8d8b955c3,644396.0258037626,3be955727a2e6e0668c7db6f4e69134d2155e8953ab27d5d9db11d14c2236e61,50,0,1,0
aa4678a7838b0d5ddfda41127ea892f2d9160a41fa16f75dd577a82f689b7a61,645028.6785468247,3be955727a2e6e0668c7db6f4e69134d2155e8953ab27d5d9db11d14c2236e61,1,0,2,0
7664688fbc620d6dd84e1b36bb7a01d887b6d85c3693d8be796fd04937eac638,649265.6788123114,213b98c1fcfd7fd6cb9e7f1ff09daccad99e04245510b1a85e0d48d8d8b955c3,77,1,1,0
df3ef5da1a13393b82920afb49128b636e55d3f78f10bc4cd3ecd6db6678eb8a,649760.499715939,213b98c1fcfd7fd6cb9e7f1ff09daccad99e04245510b1a85e0d48d8d8b955c3,12,1,1,0
fe7a34ef9718dc9e74b9bffbbe95d860d0a9bb54542494d2852b4451422caae3,649963.1940208105,aa4678a7838b0d5ddfda41127ea892f2d9160a41fa16f75dd577a82f689b7a61,1,0,2,0
aa4f7f7ba39f107eae85c5ffae07fc2a28c4122ded08854c6a2511c137076d52,656986.0804654781,df3ef5da1a13393b82920afb49128b636e55d3f78f10bc4cd3ecd6db6678eb8a,21,1,1,0
b1b1262062a74724884111de1a7cf19dd5d11deeaf0614bf57e1b633ca9c21e6,657373.05301439,fe7a34ef9718dc9e74b9bffbbe95d860d0a9bb54542494d2852b4451422caae3,1,0,2,0
633de1d79e03f116dc5eb19cd06df5592d8faa149a16426582d25282b29eed78,712559.7156432095,aa4f7f7ba39f107eae85c5ffae07fc2a28c4122ded08854c6a2511c137076d52,21,1,1,0
7714e6a7e1ad915b794c207919f00d9312a415f5e107256f605a6c3bb9fb5029,712897.7678381535,b1b1262062a74724884111de1a7cf19dd5d11deeaf0614bf57e1b633ca9c21e6,1,0,2,0
dd3955517907b442413b70f056067b5f2898d2c5faf75f2b1d64c6b298fea7fd,735108.0373912578,633de1d79e03f116dc5eb19cd06df5592d8faa149a16426582d25282b29eed78,29,1,1,0
49bad3ee8dbfe98f156a4ef8020bf8d8cb4b6cd12ff04572cd8a6e8e618fdecc,735576.3564202174,7714e6a7e1ad915b794c207919f00d9312a415f5e107256f605a6c3bb9fb5029,1,0,2,0
329e97e16256d5e1283967bc4eff9b710df1979127ccf4ffe665580315120d61,782762.0494328411,dd3955517907b442413b70f056067b5f2898d2c5faf75f2b1d64c6b298fea7fd,94,0,1,0
76b70cf25a66e205d023778c04548f904a94a0157581ec011bab6a3f385a3092,783207.6228816255,49bad3ee8dbfe98f156a4ef8020bf8d8cb4b6cd12ff04572cd8a6e8e618fdecc,1,0,2,0
ce4160185c8dac422a50aaa766df2397b50c16cd0e7743b66b20138af725f1f1,802307.626546609,329e97e16256d5e1283967bc4eff9b710df1979127ccf4ffe665580315120d61,92,0,1,0
fedeb9fb72c336bee7e02a361fc2d149c707c36f1ef6c826aff4973a1b59e224,803033.7169887513,76b70cf25a66e205d023778c04548f904a94a0157581ec011bab6a3f385a3092,1,0,2,0
5554f193effeafd0437fc1c061e1905914cf6d573ff88d1264c3892e3c1f033d,815017.9456460677,ce4160185c8dac422a50aaa766df2397b50c16cd0e7743b66b20138af725f1f1,95,1,1,0
1cc6ddc2b6a2613db0627ae4bcbef62a9d93dc84d4d5f0a02bab29063efebd0c,815462.6199914868,fedeb9fb72c336bee7e02a361fc2d149c707c36f1ef6c826aff4973a1b59e224,1,0,2,0
fa055beaa71fa1df66997ecf795cc895a272684e7988a77be5f05012578275d6,817618.0885989617,1cc6ddc2b6a2613db0627ae4bcbef62a9d93dc84d4d5f0a02bab29063efebd0c,84,0,1,0
8c465ac25e7e1f12aeb2d71955a7963bc31805ef4a542c0cd0697add6c6bc21d,818424.5241297138,1cc6ddc2b6a2613db0627ae4bcbef62a9d93dc84d4d5f0a02bab29063efebd0c,1,0,2,0
e3a5262c62839fc5f9d805d8708e1ef0c699ce97d90743d6485c24a08c84785f,862054.4873219486,fa055beaa71fa1df66997ecf795cc895a272684e7988a77be5f05012578275d6,6,0,1,0
aad35c1fc0c525fbfe0dc1492c0dfe14c9a6d0c828976ac361abf991f617c283,862911.4803216828,8c465ac25e7e1f12aeb2d71955a7963bc31805ef4a542c0cd0697add6c6bc21d,1,0,2,0
63d875a51396fac8c9047f19f3ea111b5be84e3d4b8e56924f64e0ee7f64b215,890551.6197984426,e3a5262c62839fc5f9d805d8708e1ef0c699ce97d90743d6485c24a08c84785f,26,0,1,0
390bf8f577ba43b790afe16bb5d00274c59baabebf190d0befacb1ffcdb4af4b,890593.4283736632,aad35c1fc0c525fbfe0dc1492c0dfe14c9a6d0c828976ac361abf991f617c283,1,0,2,0
b10b84aa2d92528977a51d86b61f6d338547452528ec8b06e92c80a19c0bbe47,913354.4615539649,390bf8f577ba43b790afe16bb5d00274c59baabebf190d0befacb1ffcdb4af4b,18,1,1,0
f21c1d46d3afb68eea460951108caefc1093890fc21a83def80dc63f3b157a0e,914248.2988883678,390bf8f577ba43b790afe16bb5d00274c59baabebf190d0befacb1ffcdb4af4b,1,0,2,0
f5a5fb299a9a3cdf59375274107907929c8e6b58a9d4f262d20991b139497b73,931239.6486216498,b10b84aa2d92528977a51d86b61f6d338547452528ec8b06e92c80a19c0bbe47,39,1,1,0
ec26702006069ca98b85e6af3dfb89458caec37106fd9f2063638516361887ea,932015.5014054445,f21c1d46d3afb68eea460951108caefc1093890fc21a83def80dc63f3b157a0e,1,0,2,0
4e3324105d541939d627de10973987a7a2e091baa80c4a0e1f8eeb56a2747cbf,933948.0158920109,f5a5fb299a9a3cdf59375274107907929c8e6b58a9d4f262d20991b139497b73,81,1,1,0
a2d8070e8d5aebab49098717deb1fd6b166ce9d4cc98857fc28459d04e069df4,934291.3507559156,ec26702006069ca98b85e6af3dfb89458caec37106fd9f2063638516361887ea,1,0,2,0
