BLOCK ID,TIME STAMP,PARENT ID,MINER,SLOW,LOW_CPU,PRIVATE
fcc52a02b613b10ea9a6d00c49af269740fc1bd5be365d991eb432d5a37a4d9f,0,NULL,0,0,0,0
1d42801a9ff3d77ef6d65f824b021c0f40fb4a01220aba6d4f712b9865345732,3965.8256028817946,fcc52a02b613b10ea9a6d00c49af269740fc1bd5be365d991eb432d5a37a4d9f,85,0,1,0
6deb80f7546bb3b59c6576410765569d99a3ea7d938c117ad70582b88c16e7ea,20120.006240269904,1d42801a9ff3d77ef6d65f824b021c0f40fb4a01220aba6d4f712b9865345732,87,1,1,0
bcd10faff353aabea49b8069dcdc98ff510c0dba9a44f6b7f8364942a2bd9438,20717.272164239046,1d42801a9ff3d77ef6d65f824b021c0f40fb4a01220aba6d4f712b9865345732,18,1,1,0
fc77187609dfe2736b93d03f9d09774ee321669ca93d5fc9329d69d5a059b7ec,30244.51705325588,6deb80f7546bb3b59c6576410765569d99a3ea7d938c117ad70582b88c16e7ea,98,0,1,0
87cdb6c63b2245699e83b36b5789a3da442763264e0fafea92f7fd87ac135d72,39034.39822330785,fc77187609dfe2736b93d03f9d09774ee321669ca93d5fc9329d69d5a059b7ec,66,1,1,0
c127a518572a8d340768242ce27f408df95350873f84d9d8d224b7458f22e56f,48003.356898023005,87cdb6c63b2245699e83b36b5789a3da442763264e0fafea92f7fd87ac135d72,28,0,1,0
b54c45c05d0bf1b500a22b35fa54f0b920f068b6ffc3b8a1d6ef74c75202b826,55567.5154077086,c127a518572a8d340768242ce27f408df95350873f84d9d8d224b7458f22e56f,2,0,3,0
426c3b6c538de0b03d7d663a8e29eee7b1ecc1bf3397007449f5a741de841827,56548.145267125925,c127a518572a8d340768242ce27f408df95350873f84d9d8d224b7458f22e56f,71,0,1,0
2937ee93e2e9357c7fa5931f81b33289122fb9bacafae67214a39128b1e69332,62583.7799236529,426c3b6c538de0b03d7d663a8e29eee7b1ecc1bf3397007449f5a741de841827,39,0,1,0
b0a90eb736c41b1b1a504bb84ef056387fa400f9ce19b0a3df1721fa23f5f8a1,77213.40557516596,2937ee93e2e9357c7fa5931f81b33289122fb9bacafae67214a39128b1e69332,5,1,1,0
586be61bbffa9a52b41e5cdcc13bb49051b3e1729908e55bc5a80d4257b5c96e,78552.17029888503,b0a90eb736c41b1b1a504bb84ef056387fa400f9ce19b0a3df1721fa23f5f8a1,2,0,3,0
077770be060e9c4c9ae3c95518259ad818a4ce1b70cf9e5995b16b7151908f00,83412.51303814,b0a90eb736c41b1b1a504bb84ef056387fa400f9ce19b0a3df1721fa23f5f8a1,30,1,1,0
20c263db6f998e2662a473a828e8ebd719ec2eabc85af835b3eff066b60c164e,99716.12839247238,586be61bbffa9a52b41e5cdcc13bb49051b3e1729908e55bc5a80d4257b5c96e,2,0,3,0
595dcd73c70f9f7bba7b523769774999a1f1a49241750a780606b8772591e8ff,102220.0337138612,20c263db6f998e2662a473a828e8ebd719ec2eabc85af835b3eff066b60c164e,2,0,3,0
02bcd536619e6784f5a3f5cac1fa3b2d7e0bfcbfa6925edee659417615a32acc,104845.43308508766,20c263db6f998e2662a473a828e8ebd719ec2eabc85af835b3eff066b60c164e,51,0,1,0
